customer_id,first_name,last_name,zip5,city,state,balance,rewards,num_bills,num_recurring,num_transfers_sent,total_transfers_sent,num_transfers_received,total_transfers_received,num_deposits,total_deposits,num_withdrawals,total_withdrawals,total_p2p_count,total_p2p_volume,total_transactions_count,total_transaction_volume,deposit_withdrawal_ratio
56c66be5a73e49274150727b,Elisha,Cuthbert,22967,Roseland,Virginia,542281456.0,23405331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56c66be5a73e49274150727c,Tom,Hardy,24137,Penhook,Virginia,542270004.0,23392905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56c66be5a73e49274150727d,Chlo''u00c3''u00abGrace,Moretz,26520,Arthurdale,West Virginia,119770.98999999999,128143.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2015.0,
56c66be5a73e49274150727e,Shailene,Woodley,78009,string,NJ,542349213.0,23472269.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1555.0,
56c66be5a73e49274150727f,L''u00c3''u00a9a,Seydoux,26059,Triadelphia,West Virginia,55082.0,80915.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,614.0,
56c66be5a73e492741507280,Taylor,Momsen,17267,Warfordsburg,Pennsylvania,84800.0,51364.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2193.0,
56c66be5a73e492741507281,Dave,Bautista,17751,Mill Hall,Pennsylvania,75787.0,55125.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1073.0,
56c66be5a73e492741507282,Scarlett,Johansson,14772,Randolph,New York,206565.0,63437.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,917.0,
56c66be5a73e492741507283,Benedict,Cumberbatch,21722,Clear Spring,Maryland,187540.35647244024,16335.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,193.0,
56c66be5a73e492741507285,Anna,Faris,16838,Grampian,Pennsylvania,34297.99,42636.0,27.0,0.0,3.0,40.010000000000005,4.0,50.02,0.0,0.0,0.0,0.0,7.0,90.03,34.0,2764.03,
56c66be5a73e492741507286,Lee,Pace,43787,Stockport,Ohio,34803.0,16352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56c66be5a73e492741507288,Jai,Courtney,24211,Abingdon,Virginia,40086751.0,121400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56c66be5a73e49274150728a,Zoe,Saldana,24571,Lynch Station,Virginia,104930.0,123331.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1719.0,
56c66be5a73e49274150728b,Carrie,Fisher,17745,Lock Haven,Pennsylvania,80984.0,68131.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1456.0,
56c66be5a73e49274150728c,Charlie,Hunnam,23868,Lawrenceville,Virginia,104561.0,78123.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1218.0,
56c66be5a73e49274150728d,Matthew,McConaughey,44634,Homeworth,Ohio,37500.0,29461.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,762.0,
56c66be5a73e49274150728e,Anna,Kendrick,40475,Richmond,Kentucky,14554.0,25782.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,
56c66be5a73e49274150728f,Karen,Gillan,16648,Hollidaysburg,Pennsylvania,18195.0,24165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56c66be5a73e492741507290,Christopher,Nolan,25312,Charleston,West Virginia,99126.0,70361.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1608.0,
56c66be5a73e492741507291,Jake,Gyllenhaal,15550,Manns Choice,Pennsylvania,73540.0,110757.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1802.0,
56c66be5a73e492741507292,BryceDallas,Howard,24569,Long Island,Virginia,20721.0,38479.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,232.0,
56c66be5a73e492741507293,Dylan,O' Brien,25413,Bunker Hill,West Virginia,86079.0,69897.0,5.0,0.0,2.0,100000.0,4.0,102300.0,0.0,0.0,0.0,0.0,6.0,202300.0,11.0,203280.0,
56c66be5a73e492741507294,Amanda,Seyfried,26447,Walkersville,West Virginia,6169.0,14867.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.02,
56c66be5a73e492741507295,Julianne,Moore,24054,Axton,Virginia,42299.0,41939.0,3.0,1.0,6.0,18195.0,6.0,15532.0,0.0,0.0,0.0,0.0,12.0,33727.0,15.0,34947.0,
56c66be5a73e492741507296,Marisa,Tomei,40324,Georgetown,Kentucky,147091.0,84551.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1607.0,
56c66be5a73e492741507297,Norman,Reedus,16830,Clearfield,Pennsylvania,10445.0,24840.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,299.0,
56c66be5a73e492741507298,JennaDewan,Tatum,23856,Freeman,Virginia,62226.0,48405.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,829.0,
